eh	INT	eh
une	DET:ind	un
campagne	NOM	campagne
dont	PRO:rel	dont
on	PRO:cls	on
était	VER:impf	être
sûr	ADJ	sûr
qu'	KON	que
il	PRO:cls	il
allait	VER:impf	aller
qu'	KON	que
il	PRO:cls	il
allait	VER:impf	aller
quasiment	ADV	quasiment
perdre	VER:infi	perdre
évidement	NOM	évidement
rien	PRO:ind	rien
n'	ADV	ne
est	AUX:pres	être
jamais	ADV	jamais
joué	VER:pper	jouer
avant	PRP	avant
les	DET:def	le
avant	PRP	avant
les	DET:def	le
urnes	NOM	urne
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
engager	VER:infi	engager
tout	DET:pre	tout
cet	DET:dem	ce
argent	NOM	argent
pour	PRP	pour
rien	PRO:ind	rien
au	PRP:det	au
final	NOM	final
parce	TRC	parce
que	KON	que
euh	INT	euh
il	PRO:cls	il
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
été	AUX:pper	être
élu	VER:pper	élire
conseiller	VER:infi	conseiller
municipal	ADJ	municipal
il	PRO:cls	il
a	AUX:pres	avoir
perdu	VER:pper	perdre
les	DET:def	le
élections	NOM	élection
d'	PRP	un
ailleurs	ADV	ailleurs
il	PRO:cls	il
a	AUX:pres	avoir
perdu	VER:pper	perdre
c'	PRO:cls	ce
est	VER:pres	être
donc	ADV	donc
¤N¤	NAM	¤N¤
qui	PRO:rel	qui
a	AUX:pres	avoir
été	AUX:pper	être
élu	VER:pper	élire
avec	PRP	avec
un	DET:ind	un
au	PRP:det	au
deuxième	ADJ	deuxième
tour	NOM	tour
et	KON	et
euh	INT	euh
son	DET:pos	son
opposant	NOM	opposant
donc	ADV	donc
¤N¤	NAM	¤N¤
a	AUX:pres	avoir
été	AUX:pper	être
élu	VER:pper	élire
conseiller	VER:infi	conseiller
municipal	ADJ	municipal
mais	KON	mais
euh	INT	euh
on	PRO:cls	on
le	PRO:clo	le
voit	VER:pres	voir
jamais	ADV	jamais
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
euh	INT	euh
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
un	DET:ind	un
perdant	NOM	perdant
qui	PRO:rel	qui
euh	INT	euh
qui	PRO:rel	qui
n'	ADV	ne
est	VER:pres	être
même	ADV	même
plus	ADV	plus
actif	ADJ	actif
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
donc	ADV	donc
le	DET:def	le
troisième	ADJ	troisième
candidat	NOM	candidat
je	PRO:cls	je
reviens	VER:pres	revenir
donc	ADV	donc
au	PRP:det	au
débat	NOM	débat
télévisé	ADJ	télévisé
qui	PRO:rel	qui
était	AUX:impf	être
passé	VER:pper	passer
sur	PRP	sur
Vosges	NAM	Vosges
matin	NOM	matin
le	DET:def	le
troisième	ADJ	troisième
candidat	NOM	candidat
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
¤N¤	NAM	¤N¤
et	KON	et
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
dire	VER:infi	dire
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
deux	NUM	@card@
gagnants	NOM	gagnant
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
¤N¤	NAM	¤N¤
¤N¤	NAM	¤N¤
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
le	DET:def	le
perdant	NOM	perdant
¤N¤	NAM	¤N¤
pourquoi	PRO:int	pourquoi
nous	PRO:ton	nous
on	PRO:cls	on
était	VER:impf	être
gagnant	ADJ	gagnant
quoi	INT	quoi
qu'	KON	que
il	PRO:cls	il
arrive	VER:pres	arriver
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
rien	PRO:ind	rien
que	KON	que
le	DET:def	le
fait	NOM	fait
de	PRP	de
d'	PRP	un
avoir	AUX:infi	avoir
pu	VER:pper	pouvoir
s'	PRO:clo	se
engager	VER:infi	engager
et	KON	et
d'	PRP	un
avoir	AUX:infi	avoir
pu	VER:pper	pouvoir
déposer	VER:infi	déposer
une	DET:ind	un
liste	NOM	liste
c'	PRO:cls	ce
était	VER:impf	être
déjà	ADV	déjà
un	DET:ind	un
énorme	ADJ	énorme
progrès	NOM	progrès
en	PRP	en
soi	PRO:ton	soi
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
que	KON	que
une	DET:ind	un
bande	NOM	bande
jeunes	ADJ	jeune
de	PRP	de
vingt	NUM	@card@
ans	NOM	an
une	DET:ind	un
moyenne	NOM	moyenne
d'	PRP	un
âge	NOM	âge
de	PRP	de
trentre	NOM	<unknown>
deux	NUM	@card@
euh	INT	euh
qui	PRO:rel	qui
réussit	VER:pres	réussir
à	PRP	à
déposer	VER:infi	déposer
une	DET:ind	un
liste	NOM	liste
donc	ADV	donc
il	PRO:cls	il
fallait	VER:impf	falloir
être	VER:infi	être
vingt	NUM	@card@
neuf	NUM	@card@
par	PRP	par
rapport	NOM	rapport
euh	INT	euh
à	PRP	à
la	DET:def	le
population	NOM	population
de	PRP	de
¤T¤	NAM	¤T¤
il	PRO:cls	il
fallait	VER:impf	falloir
être	VER:infi	être
vingt	NUM	@card@
neuf	NUM	@card@
qui	PRO:rel	qui
réussit	VER:pres	réussir
à	PRP	à
déposer	VER:infi	déposer
une	DET:ind	un
liste	NOM	liste
sans	PRP	sans
vraiment	ADV	vraiment
trop	ADV	trop
trop	ADV	trop
de	PRP	de
problèmes	NOM	problème
et	KON	et
euh	INT	euh
en	PRP	en
face	NOM	face
on	PRO:cls	on
avait	AUX:impf	avoir
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
avait	AUX:impf	avoir
eu	VER:pper	avoir
sa	DET:pos	son
liste	NOM	liste
en	PRP	en
deux	NUM	@card@
jours	NOM	jour
euh	INT	euh
évidement	NOM	évidement
c'	PRO:cls	ce
était	VER:impf	être
beaucoup	ADV	beaucoup
plus	ADV	plus
facile	ADJ	facile
pour	PRP	pour
eux	PRO:ton	eux
ils	PRO:cls	il
avaient	AUX:impf	avoir
un	DET:ind	un
réseau	NOM	réseau
ils	PRO:cls	il
avaient	AUX:impf	avoir
des	DET:ind	un
politiques	NOM	politique
ils	PRO:cls	il
avaient	AUX:impf	avoir
des	DET:ind	un
aides	NOM	aide
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
aussi	ADV	aussi
des	DET:ind	un
gens	NOM	gens
de	PRP	de
leur	DET:pos	leur
famille	NOM	famille
hein	INT	hein
faut	VER:pres	falloir
pas	ADV	pas
se	PRO:clo	se
leurer	VER:infi	<unknown>
ils	PRO:cls	il
avaient	VER:impf	avoir
quand	KON	quand
même	ADV	même
mis	VER:pper	mettre
enfin	ADV	enfin
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
la	DET:def	le
moitié	NOM	moitié
de	PRP	de
la	DET:def	le
famille	NOM	famille
mais	KON	mais
évidemment	ADV	évidemment
en	PRP	en
plus	ADV	plus
la	DET:def	le
loi	NOM	loi
fait	VER:pper	faire
que	KON	que
certaines	DET:ind	certains
branches	NOM	branche
ne	ADV	ne
sont	AUX:pres	être
pas	ADV	pas
comptabilisées	VER:pper	comptabiliser
donc	ADV	donc
on	PRO:cls	on
avait	VER:impf	avoir
des	DET:ind	un
cousins	NOM	cousin
par	PRP	par
ci	PRO:dem	ci
des	PRP:det	du
cousins	NOM	cousin
par	PRP	par
là	ADV	là
enfin	ADV	enfin
bref	INT	bref
là	ADV	là
aussi	ADV	aussi
on	PRO:cls	on
a	AUX:pres	avoir
vraiment	ADV	vraiment
cru	VER:pper	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
véritable	ADJ	véritable
manque	NOM	manque
de	PRP	de
respect	NOM	respect
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
liste	NOM	liste
pour	PRP	pour
faire	VER:infi	faire
une	DET:ind	un
liste	NOM	liste
euh	INT	euh
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
pas	ADV	pas
vraiment	ADV	vraiment
de	PRP	de
liste	NOM	liste
constructive	ADJ	constructif
une	DET:ind	un
personne	NOM	personne
jeune	ADJ	jeune
parce	TRC	parce
que	KON	que
euh	INT	euh
pourquoi	PRO:int	pourquoi
pas	ADV	pas
être	AUX:infi	être
adjoint	VER:pper	adjoindre
à	PRP	à
la	DET:def	le
jeunesse	NOM	jeunesse
une	DET:ind	un
personne	NOM	personne
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
âgée	ADJ	âgé
pour	PRP	pour
être	VER:infi	être
aux	PRP:det	au
affaires	NOM	affaire
ou	KON	ou
une	DET:ind	un
autre	ADJ	autre
pour	PRP	pour
être	VER:infi	être
à	PRP	à
la	DET:def	le
finance	NOM	finance
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
avait	AUX:impf	avoir
travaillé	VER:pper	travailler
dans	PRP	dans
une	DET:ind	un
trésorerie	NOM	trésorerie
quelconque	ADJ	quelconque
pour	PRP	pour
qui	PRO:rel	qui
enfin	ADV	enfin
des	DET:ind	un
gens	NOM	gens
à	PRP	à
des	DET:ind	un
postes	NOM	poste
légitimes	ADJ	légitime
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
avaient	AUX:impf	avoir
déjà	ADV	déjà
travaillé	VER:pper	travailler
dedans	ADV	dedans
ou	KON	ou
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
les	PRO:clo	le
savait	VER:impf	savoir
aptes	ADJ	apte
à	PRP	à
gérer	VER:infi	gérer
ça	PRO:ton	ça
à	PRP	à
gérer	VER:infi	gérer
ce	DET:dem	ce
poste	NOM	poste
là	ADV	là
en	PRP	en
particulier	ADJ	particulier
et	KON	et
donc	ADV	donc
nous	PRO:ton	nous
on	PRO:cls	on
avait	VER:impf	avoir
euh	INT	euh
donc	ADV	donc
on	PRO:cls	on
avait	VER:impf	avoir
¤N¤	NAM	¤N¤
et	KON	et
quoi	INT	quoi
qu'	KON	que
il	PRO:cls	il
arrive	VER:pres	arriver
¤N¤	NAM	¤N¤
¤Pren¤	NAM	<unknown>
¤Pren¤	NAM	<unknown>
moi	PRO:ton	moi
et	KON	et
notre	DET:pos	notre
liste	NOM	liste
on	PRO:cls	on
était	VER:impf	être
déjà	ADV	déjà
gagnants	ADJ	gagnant
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
s'	PRO:clo	se
était	AUX:impf	être
présentés	VER:pper	présenter
et	KON	et
euh	INT	euh
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
réussi	VER:pper	réussir
à	PRP	à
être	VER:infi	être
présents	ADJ	présent
et	KON	et
les	DET:def	le
¤habitant¤	NAM	<unknown>
nous	PRO:clo	nous
étaient	VER:impf	être
reconnaissants	ADJ	reconnaissant
pour	PRP	pour
ça	PRO:ton	ça
ils	PRO:cls	il
étaient	VER:impf	être
reconnaissant	ADJ	reconnaissant
envers	NOM	envers
nous	PRO:clo	nous
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
fait	VER:pper	faire
euh	INT	euh
une	DET:ind	un
troisième	ADJ	troisième
liste	NOM	liste
on	PRO:cls	on
proposait	VER:impf	proposer
autre	ADJ	autre
chose	NOM	chose
et	KON	et
en	PRP	en
plus	ADV	plus
c'	PRO:cls	ce
était	VER:impf	être
des	DET:ind	un
jeunes	ADJ	jeune
c'	PRO:cls	ce
est	VER:pres	être
exactement	ADV	exactement
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
voulaient	VER:impf	vouloir
depuis	PRP	depuis
dix-neuf	NUM	@card@
cent	NUM	@card@
soixante	NUM	@card@
cinquante	NUM	@card@
six	NUM	@card@
je	PRO:cls	je
crois	VER:pres	croire
il	PRO:cls	il
n'	ADV	ne
y	PRO:clo	y
avait	AUX:impf	avoir
eu	VER:pper	avoir
de	PRP	de
deuxième	ADJ	deuxième
tour	NOM	tour
à	PRP	à
¤T¤	NAM	¤T¤
depuis	PRP	depuis
cette	DET:dem	ce
date	NOM	date
et	KON	et
grâce	ADV	grâce
à	PRP	à
notre	DET:pos	notre
présence	NOM	présence
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
deux	NUM	@card@
tours	NOM	tour
ça	PRO:cls	ça
faisait	VER:impf	faire
donc	ADV	donc
plus	ADV	plus
de	PRP	de
soixante	NUM	@card@
ans	NOM	an
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
avait	AUX:impf	avoir
pas	ADV	pas
eu	VER:pper	avoir
deux	NUM	@card@
tour	NOM	tour
à	PRP	à
¤T¤	NAM	¤T¤
et	KON	et
nous	PRO:ton	nous
on	PRO:cls	on
arrive	VER:pres	arriver
on	PRO:cls	on
se	PRO:clo	se
pointe	VER:subp	pointer
comme	KON	comme
ça	PRO:ton	ça
peinard	NOM	peinard
tranquille	ADJ	tranquille
on	PRO:cls	on
fait	VER:pres	faire
notre	DET:pos	notre
liste	NOM	liste
on	PRO:cls	on
fait	VER:pres	faire
nos	DET:pos	notre
meeting	NOM	meeting
on	PRO:cls	on
présente	VER:pres	présenter
nos	DET:pos	notre
projets	NOM	projet
et	KON	et
là	ADV	là
on	PRO:cls	on
se	PRO:clo	se
dit	VER:pres	dire
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
mal	ADV	mal
c'	PRO:cls	ce
est	VER:pres	être
plutôt	ADV	plutôt
cool	ADJ	cool
et	KON	et
hop	INT	hop
deux	NUM	@card@
tours	NOM	tour
c'	PRO:cls	ce
est	AUX:pres	être
passé	VER:pper	passer
à	PRP	à
à	PRP	à
quelques	DET:ind	quelque
voix	NOM	voix
près	ADV	près
je	PRO:cls	je
crois	VER:pres	croire
une	DET:ind	un
quinzaine	NOM	quinzaine
de	PRP	de
voix	NOM	voix
près	ADV	près
euh	INT	euh
donc	ADV	donc
le	DET:def	le
premier	ADJ	premier
qu'	PRO:rel	que
est	AUX:pres	être
arrivé	VER:pper	arriver
c'	PRO:cls	ce
était	VER:impf	être
donc	ADV	donc
¤N¤	NAM	¤N¤
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
quarante	NUM	@card@
neuf	NUM	@card@
pourcents	NOM	<unknown>
quatre	NUM	@card@
quarante	NUM	@card@
neuf	NUM	@card@
virgule	NOM	virgule
quatre	NUM	@card@
vingt	NUM	@card@
dix	NUM	@card@
pourcents	NOM	<unknown>
quelque	ADJ	<unknown>
chose	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
il	PRO:clsi	il
lui	PRO:clo	lui
manquait	VER:impf	manquer
dix	NUM	@card@
sept	NUM	@card@
voix	NOM	voix
je	PRO:cls	je
crois	VER:pres	croire
pour	PRP	pour
être	AUX:infi	être
élu	VER:pper	élire
dès	PRP	dès
le	DET:def	le
premier	ADJ	premier
tour	NOM	tour
et	KON	et
non	FNO	non
ben	INT	ben
non	FNO	non
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
nous	PRO:ton	nous
qui	PRO:rel	qui
lui	PRO:clo	lui
avons	AUX:pres	avoir
pris	VER:pper	prendre
mais	KON	mais
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
euh	INT	euh
notre	DET:pos	notre
présence	NOM	présence
a	AUX:pres	avoir
fait	VER:pper	faire
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
deux	NUM	@card@
tours	NOM	tour
et	KON	et
ça	PRO:ton	ça
déjà	ADV	déjà
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
énorme	ADJ	énorme
chamboulement	NOM	<unknown>
le	DET:def	le
deuxième	ADJ	deuxième
candidat	NOM	candidat
euh	INT	euh
donc	ADV	donc
¤N¤	NAM	¤N¤
a	AUX:pres	avoir
fait	VER:pper	faire
trente	NUM	@card@
euh	INT	euh
trente	NUM	@card@
et	KON	et
un	NUM	@card@
pourcents	NOM	<unknown>
je	PRO:cls	je
crois	VER:pres	croire
et	KON	et
nous	PRO:ton	nous
de	PRP	de
manière	NOM	manière
assez	ADV	assez
exceptionnelle	ADJ	exceptionnel
à	PRP	à
dix	NUM	@card@
neuf	NUM	@card@
ans	NOM	an
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
quatorze	NUM	@card@
pourcents	NOM	<unknown>
et	KON	et
je	PRO:cls	je
suis	AUX:pres	être
persuadé	VER:pper	persuader
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
certainement	ADV	certainement
le	DET:def	le
plus	ADV	plus
jeune	ADJ	jeune
candidat	NOM	candidat
de	PRP	de
France	NAM	France
on	PRO:cls	on
était	VER:impf	être
les	DET:def	le
plus	ADV	plus
jeunes	ADJ	jeune
avec	PRP	avec
un	DET:ind	un
budget	NOM	budget
le	DET:def	le
plus	ADV	plus
rétréci	VER:pper	rétrécir
quatorze	NUM	@card@
pourcents	NOM	<unknown>
je	PRO:cls	je
peux	VER:pres	pouvoir
vous	PRO:clo	vous
dire	VER:infi	dire
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
vraiment	ADV	vraiment
éclaté	VER:pper	éclater
l'	DET:def	le
applaudimètre	NOM	<unknown>
alors	ADV	alors
là	ADV	là
le	DET:def	le
jour	NOM	jour
où	PRO:rel	où
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
la	DET:def	le
présentation	NOM	présentation
des	PRP:det	du
résultats	NOM	résultat
dans	PRP	dans
la	DET:def	le
dans	PRP	dans
la	DET:def	le
grande	ADJ	grand
salle	NOM	salle
de	PRP	de
la	DET:def	le
mairie	NOM	mairie
quatorze	NUM	@card@
pourcents	NOM	<unknown>
pour	PRP	pour
l'	DET:def	le
alternativxxx	NOM	<unknown>
menée	NOM	menée
par	PRP	par
quatres	NOM	<unknown>
jeunes	ADJ	jeune
de	PRP	de
dix	NUM	@card@
neuf	NUM	@card@
et	KON	et
vingt	NUM	@card@
ans	NOM	an
à	PRP	à
l'	DET:def	le
applaudimètre	NOM	<unknown>
a	AUX:pres	avoir
a	AUX:pres	avoir
pété	VER:pper	péter
tous	DET:pre	tout
les	DET:def	le
records	NOM	record
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
ce	DET:dem	ce
soir	NOM	soir
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
nous	PRO:ton	nous
les	DET:def	le
gagnants	NOM	gagnant
bon	INT	bon
évidement	NOM	évidement
après	ADV	après
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
deuxième	ADJ	deuxième
tour	NOM	tour
une	DET:ind	un
semaine	NOM	semaine
plus	ADV	plus
tard	ADV	tard
bon	INT	bon
là	ADV	là
on	PRO:cls	on
s'	PRO:clo	se
est	AUX:pres	être
pris	VER:pper	prendre
le	DET:def	le
bah	INT	bah
on	PRO:cls	on
s'	PRO:clo	se
est	AUX:pres	être
pris	VER:pper	prendre
le	DET:def	le
le	DET:def	le
vote	NOM	vote
utile	ADJ	utile
quoi	INT	quoi
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
que	KON	que
les	DET:def	le
gens	NOM	gens
ont	AUX:pres	avoir
eu	VER:pper	avoir
peur	NOM	peur
que	KON	que
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
a	AUX:pres	avoir
voté	VER:pper	voter
pour	PRP	pour
les	DET:def	le
jeunes	ADJ	jeune
au	PRP:det	au
premier	ADJ	premier
tour	NOM	tour
maintenant	ADV	maintenant
il	PRO:cls	il
faut	VER:pres	falloir
être	VER:infi	être
plus	ADV	plus
sérieux	ADJ	sérieux
on	PRO:cls	on
va	VER:pres	aller
élire	VER:infi	élire
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
sont	VER:pres	être
quand	KON	quand
même	ADV	même
euh	INT	euh
aptes	ADJ	apte
à	PRP	à
gérer	VER:infi	gérer
une	DET:ind	un
ville	NOM	ville
