bon	INT	bon
ensuite	ADV	ensuite
ouais	FNO	ouais
se	PRO:clo	se
faire	VER:infi	faire
euh	INT	euh
son	DET:pos	son
propre	ADJ	propre
sa	DET:pos	son
propre	ADJ	propre
opinion	NOM	opinion
et	KON	et
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
là	ADV	là
au	PRP:det	au
point	NOM	point
où	PRO:rel	où
vous	PRO:cls	vous
en	PRO:clo	en
êtes	VER:pres	être
dans	PRP	dans
vos	DET:pos	votre
études	NOM	étude
vous	PRO:cls	vous
arrivez	VER:pres	arriver
pas	ADV	pas
encore	ADV	encore
à	PRP	à
analyser	VER:infi	analyser
les	DET:def	le
gens	NOM	gens
euh	INT	euh
ah	INT	ah
non	FNO	non
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
bah	INT	bah
après	ADV	après
on	PRO:cls	on
peut	VER:pres	pouvoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
certaines	DET:ind	certains
choses	NOM	chose
euh	INT	euh
forcément	ADV	forcément
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
même	ADV	même
sans	PRP	sans
faire	VER:infi	faire
de	PRP	de
psychologie	NOM	psychologie
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
faire	VER:infi	faire
des	DET:ind	un
idées	NOM	idée
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
peut	VER:pres	pouvoir
réussir	VER:infi	réussir
à	PRP	à
à	PRP	à
comprendre	VER:infi	comprendre
des	DET:ind	un
choses	NOM	chose
par	PRP	par
soi-même	PRO:ton	soi-même
on	PRO:cls	on
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
puis	KON	puis
après	ADV	après
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
gens	NOM	gens
euh	INT	euh
tous	DET:pre	tout
euh	INT	euh
qui	PRO:rel	qui
malgré	PRP	malgré
tout	PRO:ind	tout
euh	INT	euh
enfin	ADV	enfin
ça	PRO:cls	ça
dépend	VER:pres	dépendre
des	DET:ind	un
gens	NOM	gens
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
ont	VER:pres	avoir
la	DET:def	le
fibre	NOM	fibre
psychologique	ADJ	psychologique
et	KON	et
même	ADV	même
sans	PRP	sans
avoir	AUX:infi	avoir
fait	VER:pper	faire
aucune	DET:ind	aucun
étude	NOM	étude
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
euh	INT	euh
comme	KON	comme
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
leur	DET:pos	leur
façon	NOM	façon
de	PRP	de
de	PRP	de
voir	VER:infi	voir
voilà	FNO	voilà
de	PRP	de
voir	VER:infi	voir
les	DET:def	le
choses	NOM	chose
ce	PRO:dem	ce
qui	PRO:rel	qui
ont	AUX:pres	avoir
vécus	VER:simp	vivre
et	KON	et
tout	PRO:ind	tout
et	KON	et
vous	PRO:cls	vous
vous	PRO:clo	vous
l'	PRO:clo	le
avez	VER:pres	avoir
la	DET:def	le
fibre	NOM	fibre
euh	INT	euh
psychologique	ADJ	psychologique
ça	PRO:ton	ça
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
enfin	ADV	enfin
bah	INT	bah
bah	INT	bah
moi	PRO:ton	moi
per-	TRC	per-
personnellement	ADV	personnellement
je	PRO:cls	je
trouve	VER:pres	trouver
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
souvent	ADV	souvent
dans	PRP	dans
l'	DET:def	le
analyse	NOM	analyse
depuis	ADV	depuis
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
petite	ADJ	petit
en	PRP	en
fait	NOM	fait
je	PRO:cls	je
suis	AUX:pres	être
intéressée	VER:pper	intéresser
par	PRP	par
ça	PRO:ton	ça
vraiment	ADV	vraiment
euh	INT	euh
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
depuis	ADV	depuis
euh	INT	euh
depuis	PRP	depuis
l'	DET:def	le
école	NOM	école
primaire	ADJ	primaire
quoi	INT	quoi
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
aimé	VER:pper	aimer
ça	PRO:ton	ça
j'	PRO:cls	je
ai	VER:pres	avoir
toujours	ADV	toujours
é-	TRC	é-
été	VER:pper	être
à	PRP	à
l'	DET:def	le
écoute	NOM	écoute
enfin	ADV	enfin
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
ouais	FNO	ouais
je	PRO:cls	je
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
toujours	ADV	toujours
comme	KON	comme
ça	PRO:ton	ça
aussi	ADV	aussi
bah	INT	bah
par	PRP	par
exemple	NOM	exemple
vous	PRO:cls	vous
av-	TRC	av-
bon	INT	bon
voilà	FNO	voilà
je	PRO:cls	je
vais	VER:pres	aller
vous	PRO:clo	vous
parler	VER:infi	parler
euh	INT	euh
de	PRP	de
mon	DET:pos	mon
amie	NOM	amie
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
me	PRO:clo	me
parle	VER:pres	parler
souvent	ADV	souvent
quand	KON	quand
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
voilà	FNO	voilà
on	PRO:cls	on
a	VER:pres	avoir
souvent	ADV	souvent
des	DET:ind	un
dialogues	NOM	dialogue
on	PRO:cls	on
parle	VER:pres	parler
de	PRP	de
plein	ADV	plein
de	PRP	de
choses	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
j'	PRO:cls	je
aime	VER:pres	aimer
vraiment	ADV	vraiment
écouter	VER:infi	écouter
les	DET:def	le
autres	ADJ	autre
euh	INT	euh
j'	PRO:cls	je
aime	VER:pres	aimer
apprendre	VER:infi	apprendre
des	DET:ind	un
choses	NOM	chose
sur	PRP	sur
moi-même	PRO:ton	moi-même
euh	INT	euh
essayer	VER:infi	essayer
de	PRP	de
me	PRO:clo	me
dire	VER:infi	dire
ah	INT	ah
s'	KON	si
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
telle	DET:dem	tel
raison	NOM	raison
peut-être	ADV	peut-être
enfin	ADV	enfin
je	PRO:cls	je
essayer	VER:infi	essayer
de	PRP	de
voir	VER:infi	voir
toutes	DET:pre	tout
les	DET:def	le
possibilités	NOM	possibilité
de	PRP	de
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tout	DET:pre	tout
ça	PRO:ton	ça
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
et	KON	et
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
vachement	ADV	vachement
passionnant	ADJ	passionnant
quoi	INT	quoi
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
mine	NOM	mine
de	PRP	de
rien	PRO:ind	rien
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
on	PRO:cls	on
est	VER:pres	être
quand	KON	quand
même	ADV	même
sept	NUM	@card@
milliards	NUM	@card@
d'	PRP	un
êtres	NOM	être
humains	ADJ	humain
hum	FNO	hum
sur	PRP	sur
la	DET:def	le
planète	NOM	planète
et	KON	et
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
disent	VER:pres	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
intéressant	ADJ	intéressant
de	PRP	de
s'	PRO:clo	se
intérésser	VER:infi	<unknown>
à	PRP	à
hum	FNO	hum
bah	INT	bah
au	PRP:det	au
psychisme	NOM	psychisme
humain	ADJ	humain
aux	PRP:det	au
êtres	NOM	être
humains	ADJ	humain
aux	PRP:det	au
relations	NOM	relation
euh	INT	euh
bah	INT	bah
non	FNO	non
parce	TRC	parce
que	KON	que
franchement	ADV	franchement
bah	INT	bah
si	KON	si
le	DET:def	le
but	NOM	but
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
vivre	VER:infi	vivre
en	PRP	en
communauté	NOM	communauté
bah	INT	bah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
se	PRO:clo	se
connaître	VER:infi	connaître
on	PRO:cls	on
on	PRO:cls	on
est	VER:pres	être
tous	PRO:ind	tout
là	ADV	là
euh	INT	euh
dans	PRP	dans
une	DET:ind	un
planète	NOM	planète
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
est	VER:pres	être
beaucoup	ADV	beaucoup
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
important	ADJ	important
de	PRP	de
s'	PRO:clo	se
intéresser	VER:infi	intéresser
à	PRP	à
l'	PRO:clo	le
être	VER:infi	être
humain	ADJ	humain
si	KON	si
pour	PRP	pour
moi	PRO:ton	moi
on	PRO:cls	on
ne	ADV	ne
s'	PRO:clo	se
intéresse	VER:pres	intéresser
pas	ADV	pas
à	PRP	à
l'	PRO:clo	le
être	VER:infi	être
humain	ADJ	humain
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
que	KON	que
dire	VER:infi	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
inintéressant	ADJ	inintéressant
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
tu	PRO:cls	tu
es	VER:pres	être
pas	ADV	pas
intéressant	ADJ	intéressant
enfin	ADV	enfin
que	KON	que
toi-même	PRO:ton	toi-même
tu	PRO:cls	tu
tu	PRO:cls	tu
tu	PRO:cls	tu
t'	PRO:clo	te
intéresses	VER:pres	intéresser
pas	ADV	pas
tu	PRO:cls	tu
trouves	VER:pres	trouver
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
nul	ADJ	nul
euh	INT	euh
voilà	FNO	voilà
tu	PRO:cls	tu
t'	PRO:clo	te
intéresses	VER:pres	intéresser
pas	ADV	pas
à	PRP	à
toi-même	PRO:ton	toi-même
que	KON	que
enfin	ADV	enfin
tu	PRO:cls	tu
prends	VER:pres	prendre
pas	ADV	pas
en	PRP	en
compte	NOM	compte
vraiment	ADV	vraiment
euh	INT	euh
ton	DET:pos	ton
l'	DET:def	le
importance	NOM	importance
de	PRP	de
de	PRP	de
l'	PRO:clo	le
être	VER:infi	être
humain	ADJ	humain
de	PRP	de
ouais	FNO	ouais
enfin	ADV	enfin
tout	DET:pre	tout
ça	PRO:ton	ça
quoi	INT	quoi
enfin	ADV	enfin
je	PRO:cls	je
ouais	FNO	ouais
bah	INT	bah
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
mal	NOM	mal
à	PRP	à
m'	PRO:clo	me
expliquer	VER:infi	expliquer
ça	PRO:cls	ça
part	VER:pres	partir
un	DET:ind	un
peu	NOM	peu
en	PRP	en
mais	KON	mais
euh	INT	euh
mais	KON	mais
après	ADV	après
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
malgré	PRP	malgré
tout	PRO:ind	tout
on	PRO:cls	on
p-	TRC	p-
on	PRO:cls	on
pourra	VER:futu	pouvoir
pas	ADV	pas
se	PRO:clo	se
retrouver	VER:infi	retrouver
face	ADV	face
à	PRP	à
quelqu'un	PRO:ind	quelqu'un
à	PRP	à
l'	PRO:clo	le
analyser	VER:infi	analyser
après	ADV	après
tu	PRO:cls	tu
peux	VER:pres	pouvoir
l'	PRO:clo	le
aider	VER:infi	aider
en	PRP	en
lui	PRO:clo	lui
donnant	VER:ppre	donner
des	DET:ind	un
trucs	NOM	truc
euh	INT	euh
et	KON	et
en	PRP	en
con-	TRC	<unknown>
en	PRP	en
essayant	VER:ppre	essayer
de	PRP	de
comprendre	VER:infi	comprendre
et	KON	et
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
peu	NOM	peu
la	DET:def	le
part	NOM	part
des	PRP:det	du
choses	NOM	chose
aussi	ADV	aussi
parce	TRC	parce
que	KON	que
euh	INT	euh
d'	PRP	un
un	DET:ind	un
autre	ADJ	autre
côté	NOM	côté
euh	INT	euh
des	DET:ind	un
fois	NOM	fois
tu	PRO:cls	tu
vois	VER:pres	voir
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
agissent	VER:pres	agir
d'	PRP	un
une	DET:ind	un
manière	NOM	manière
euh	INT	euh
d'	PRP	un
une	NUM	@card@
d'	PRP	un
une	DET:ind	un
manière	NOM	manière
particulière	ADJ	particulier
et	KON	et
euh	INT	euh
et	KON	et
si	KON	si
tu	PRO:cls	tu
si	KON	si
tu	PRO:cls	tu
restes	VER:pres	rester
vraiment	ADV	vraiment
euh	INT	euh
figé	VER:pper	figer
ouais	FNO	ouais
figé	VER:pper	figer
bah	INT	bah
tu	PRO:cls	tu
vas	VER:pres	aller
te	PRO:clo	te
dire	VER:infi	dire
il	PRO:clsi	il
est	VER:pres	être
trop	ADV	trop
con	ADJ	con
alors	ADV	alors
qu'	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
si	KON	si
tu	PRO:cls	tu
euh	INT	euh
si	KON	si
tu	PRO:cls	tu
vas	VER:pres	aller
chercher	VER:infi	chercher
plus	ADV	plus
loin	ADV	loin
tu	PRO:cls	tu
t'	PRO:clo	te
aperçois	VER:pres	apercevoir
que	KON	que
bah	INT	bah
ouais	FNO	ouais
si	KON	si
il	PRO:cls	il
réagit	VER:pres	réagir
comme	KON	comme
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
lui	PRO:clo	lui
est	AUX:pres	être
arrivé	VER:pper	arriver
ci	ADV	ci
et	KON	et
ça	PRO:ton	ça
et	KON	et
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
mais	KON	mais
euh	INT	euh
et	KON	et
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
intéressant	ADJ	intéressant
de	PRP	de
se	PRO:clo	se
connaitre	VER:subp	<unknown>
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
nos	DET:pos	notre
propres	ADJ	propre
voilà	FNO	voilà
re	VER:subi	<unknown>
représentations	NOM	représentation
on	PRO:cls	on
a	VER:pres	avoir
nos	DET:pos	notre
propres	ADJ	propre
euh	INT	euh
voilà	FNO	voilà
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
autre	ADJ	autre
éducation	NOM	éducation
et	KON	et
il	PRO:cls	il
faut	VER:pres	falloir
faut	VER:pres	falloir
essayer	VER:infi	essayer
d'	PRP	un
être	VER:infi	être
neutre	ADJ	neutre
donc	ADV	donc
il	PRO:cls	il
faut	VER:pres	falloir
réussir	VER:infi	réussir
à	PRP	à
passer	VER:infi	passer
au-dessus	ADV	au-dessus
il	PRO:cls	il
faut	VER:pres	falloir
mettre	VER:infi	mettre
voilà	FNO	voilà
ouais	FNO	ouais
de	PRP	de
la	DET:def	le
distance	NOM	distance
entre	PRP	entre
les	DET:def	le
personnes	NOM	personne
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
et	KON	et
même	ADV	même
cette	DET:dem	ce
distance	NOM	distance
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
pas	ADV	pas
simple	ADJ	simple
parce	TRC	parce
que	KON	que
nous	PRO:ton	nous
on	PRO:cls	on
a	VER:pres	avoir
nos	DET:pos	notre
propres	ADJ	propre
angoisses	NOM	angoisse
on	PRO:cls	on
a	VER:pres	avoir
nos	DET:pos	notre
propres	ADJ	propre
problèmes	NOM	problème
on	PRO:cls	on
a	VER:pres	avoir
nos	DET:pos	notre
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
notre	DET:pos	notre
vie	NOM	vie
passée	VER:pper	passer
et	KON	et
on	PRO:cls	on
a	VER:pres	avoir
toujours	ADV	toujours
nos	DET:pos	notre
petites	ADJ	petit
valises	NOM	valise
là	ADV	là
qui	PRO:rel	qui
des	PRP:det	du
fois	NOM	fois
elles	PRO:cls	elle
interviennent	VER:pres	intervenir
paf	ADJ	paf
et	KON	et
qui	PRO:rel	qui
rentrent	VER:pres	rentrer
même	ADV	même
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
inconscient	ADJ	inconscient
il	PRO:cls	il
faut	VER:pres	falloir
avec	PRP	avec
nos	DET:pos	notre
a	VER:pres	avoir
priori	ADV	<unknown>
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
euh	INT	euh
faut	VER:pres	falloir
savoir	VER:infi	savoir
détecter	VER:infi	détecter
les	DET:def	le
petits	ADJ	petit
trucs	NOM	truc
inconscient	ADJ	inconscient
qui	PRO:rel	qui
sont	VER:pres	être
hum	FNO	hum
dans	PRP	dans
ta	DET:pos	ton
tête	NOM	tête
et	KON	et
savoir	VER:infi	savoir
euh	INT	euh
les	DET:def	le
les	DET:def	le
les	DET:def	le
mettre	VER:infi	mettre
en	PRP	en
avant	NOM	avant
et	KON	et
euh	INT	euh
et	KON	et
se	PRO:clo	se
dire	VER:infi	dire
bah	INT	bah
par	PRP	par
ex-	NOM	<unknown>
des	PRP:det	du
fois	NOM	fois
on	PRO:cls	on
va	VER:pres	aller
pas	ADV	pas
pouvoir	VER:infi	pouvoir
avoir	VER:infi	avoir
une	DET:ind	un
position	NOM	position
euh	INT	euh
assez	ADV	assez
objective	ADJ	objectif
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
difficile	ADJ	difficile
parce	TRC	parce
que	KON	que
souvent	ADV	souvent
il	PRO:cls	il
va	VER:pres	aller
y	PRO:clo	y
avoir	VER:infi	avoir
telle	DET:dem	tel
situation	NOM	situation
vis-à-vis	ADV	vis-à-vis
d'	PRP	un
une	DET:ind	un
personne	NOM	personne
et	KON	et
bah	INT	bah
qui	PRO:rel	qui
va	VER:pres	aller
euh	INT	euh
qui	PRO:rel	qui
te	PRO:clo	te
renvoie	VER:pres	renvoyer
à	PRP	à
une	DET:ind	un
situation	NOM	situation
qui	PRO:rel	qui
va	VER:pres	aller
te	PRO:clo	te
renvoyer	VER:infi	renvoyer
à	PRP	à
ta	DET:pos	ton
propre	ADJ	propre
ouais	FNO	ouais
situation	NOM	situation
et	KON	et
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
difficile	ADJ	difficile
de	PRP	de
se	PRO:clo	se
mettre	VER:infi	mettre
dans	PRP	dans
une	DET:ind	un
position	NOM	position
objective	VER:pres	objectiver
se	PRO:clo	se
dire	VER:infi	dire
que	KON	que
l'	DET:def	le
autre	ADJ	autre
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
autre	ADJ	autre
personne	NOM	personne
et	KON	et
que	KON	que
cette	DET:dem	ce
autre	ADJ	autre
personne	NOM	personne
et	KON	et
bah	INT	bah
elle	PRO:cls	elle
a	VER:pres	avoir
une	DET:ind	un
situation	NOM	situation
différente	ADJ	différent
de	PRP	de
la	DET:def	le
tienne	PRO:pos	tien
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pareil	ADJ	pareil
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
euh	INT	euh
enfin	ADV	enfin
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
euh	INT	euh
il	PRO:cls	il
faut	VER:pres	falloir
rester	VER:infi	rester
neutre	ADJ	neutre
il	PRO:cls	il
faut	VER:pres	falloir
hum	FNO	hum
é-	TRC	é-
ouais	FNO	ouais
bah	INT	bah
faut	VER:pres	falloir
rester	VER:infi	rester
neutre	ADJ	neutre
mais	KON	mais
quand	KON	quand
je	PRO:cls	je
dis	VER:pres	dire
neutre	ADJ	neutre
on	PRO:cls	on
pourra	VER:futu	pouvoir
jamais	ADV	jamais
être	VER:infi	être
totalement	ADV	totalement
objectif	NOM	objectif
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
possible	ADJ	possible
vraiment	ADV	vraiment
il	PRO:cls	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
de	PRP	de
la	DET:def	le
distance	NOM	distance
et	KON	et
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
cette	DET:dem	ce
distance	NOM	distance
qui	PRO:rel	qui
qui	PRO:rel	qui
est	VER:pres	être
là	ADV	là
enfin	ADV	enfin
pour	PRP	pour
moi	PRO:ton	moi
l'	DET:def	le
objectivité	NOM	objectivité
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
être	VER:infi	être
euh	INT	euh
avoir	VER:infi	avoir
une	DET:ind	un
certaine	ADJ	certain
distance	NOM	distance
et	KON	et
et	KON	et
voilà	FNO	voilà
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tous	DET:pre	tout
ces	DET:dem	ce
tous	DET:pre	tout
ces	DET:dem	ce
petits	ADJ	petit
trucs	NOM	truc
euh	INT	euh
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
que	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
d'	PRP	un
abord	NOM	abord
être	VER:infi	être
clair	ADJ	clair
avec	PRP	avec
soi-même	PRO:ton	soi-même
enfin	ADV	enfin
à	PRP	à
peu	NOM	peu
près	ADV	près
on	PRO:cls	on
pourra	VER:futu	pouvoir
jamais	ADV	jamais
l'	PRO:clo	le
être	VER:infi	être
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
est	VER:pres	être
sombre	ADJ	sombre
à	PRP	à
nous-même	NOM	<unknown>
pour	PRP	pour
moi	PRO:ton	moi
on	PRO:cls	on
se	PRO:clo	se
connait	VER:impf	<unknown>
pas	ADV	pas
totalement	ADV	totalement
enfin	ADV	enfin
l'	PRO:clo	le
être	VER:infi	être
humain	NOM	humain
est	VER:pres	être
pour	PRP	pour
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
connais	VER:pres	connaître
pas	ADV	pas
je	PRO:cls	je
je	PRO:cls	je
voilà	FNO	voilà
j'	PRO:cls	je
apprends	VER:pres	apprendre
des	DET:ind	un
choses	NOM	chose
sur	PRP	sur
moi	PRO:ton	moi
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
choses	NOM	chose
que	KON	que
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
quoi	INT	quoi
sur	PRP	sur
moi	PRO:ton	moi
et	KON	et
mais	KON	mais
du	PRP:det	du
coup	NOM	coup
à	PRP	à
la	DET:def	le
fin	NOM	fin
normalement	ADV	normalement
on	PRO:cls	on
est	VER:pres	être
censé	ADJ	censé
euh	INT	euh
se	PRO:clo	se
connaitre	VER:subp	<unknown>
mais	KON	mais
d'	PRP	un
un	DET:ind	un
autre	ADJ	autre
côté	NOM	côté
on	PRO:cls	on
déc-	TRC	déc-
on	PRO:cls	on
se	PRO:clo	se
découvre	VER:pres	découvrir
euh	INT	euh
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
sa	DET:pos	son
v-	TRC	v-
tout	PRO:ind	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
notre	DET:pos	notre
vie	NOM	vie
donc	ADV	donc
hum	FNO	hum
euh	INT	euh
mais	KON	mais
on	PRO:cls	on
connaitra	VER:pres	<unknown>
déjà	ADV	déjà
certaines	DET:ind	certains
choses	NOM	chose
pour	PRP	pour
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
quand	KON	quand
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
s'	PRO:clo	se
aperçevoir	VER:infi	<unknown>
que	KON	que
enfin	ADV	enfin
là	ADV	là
je	PRO:cls	je
vois	VER:pres	voir
on	PRO:cls	on
sort	VER:pres	sortir
d'	PRP	un
un	DET:ind	un
cours	NOM	cours
où	PRO:rel	où
euh	INT	euh
une	DET:ind	un
prof	NOM:trc	professeur
qui	PRO:rel	qui
nous	PRO:clo	nous
racontait	VER:impf	raconter
que	KON	que
hum	FNO	hum
qu'	KON	que
elle	PRO:cls	elle
était	VER:impf	être
euh	INT	euh
qu'	KON	que
elle	PRO:cls	elle
avait	VER:impf	avoir
un	DET:ind	un
patient	NOM	patient
et	KON	et
euh	INT	euh
et	KON	et
il	PRO:clsi	il
lui	PRO:clo	lui
plai-	VER:futu	<unknown>
enfin	ADV	enfin
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
en	PRP	en
fait	NOM	fait
normalement	ADV	normalement
elle	PRO:cls	elle
fait	VER:pres	faire
elle	PRO:cls	elle
fait	VER:pres	faire
des	DET:ind	un
des	DET:ind	un
sé-	TRC	<unknown>
des	DET:ind	un
séances	NOM	séance
de	PRP	de
quarante	NUM	@card@
cinq	NUM	@card@
minutes	NOM	minute
et	KON	et
avec	PRP	avec
son	DET:pos	son
patient	NOM	patient
oui	FNO	oui
oui	FNO	oui
et	KON	et
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
rendu	VER:pper	rendre
compte	NOM	compte
qu'	KON	que
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
grillé	VER:pper	griller
un	DET:ind	un
quart	NOM	quart
d'	PRP	un
heure	NOM	heure
en	PRP	en
fait	NOM	fait
elle	PRO:cls	elle
l'	PRO:clo	le
a	AUX:pres	avoir
fait	VER:pper	faire
partir	VER:infi	partir
euh	INT	euh
vachement	ADV	vachement
plus	ADV	plus
vite	ADV	vite
que	KON	que
d'	PRP	un
habitude	NOM	habitude
et	KON	et
euh	INT	euh
donc	ADV	donc
bah	INT	bah
quand	KON	quand
il	PRO:cls	il
est	AUX:pres	être
parti	VER:pper	partir
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
dit	VER:pper	dire
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bizarre	ADJ	bizarre
euh	INT	euh
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
l'	DET:def	le
heure	NOM	heure
qu'	KON	que
il	PRO:cls	il
devrait	VER:cond	devoir
être	VER:infi	être
et	KON	et
cetera	VER:futu	<unknown>
et	KON	et
en	PRP	en
fait	NOM	fait
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
rendu	VER:pper	rendre
compte	NOM	compte
en	PRP	en
réfléchissant	VER:ppre	réfléchir
qui	PRO:rel	qui
lui	PRO:clo	lui
renvoyait	VER:impf	renvoyer
certaines	DET:ind	certains
choses	NOM	chose
qui	PRO:rel	qui
lui	PRO:clo	lui
déplaisaient	VER:impf	déplaire
donc	ADV	donc
elle	PRO:cls	elle
a	VER:pres	avoir
du	DET:par	du
faire	VER:infi	faire
un	DET:ind	un
travail	NOM	travail
ouais	FNO	ouais
sur	PRP	sur
elle	PRO:ton	elle
même	ADV	même
pour	PRP	pour
après	ADV	après
ben	INT	ben
elle	PRO:cls	elle
va	VER:pres	aller
pas	ADV	pas
lui	PRO:clo	lui
dire	VER:infi	dire
euh	INT	euh
je	PRO:cls	je
vous	PRO:clo	vous
veux	VER:pres	vouloir
pas	ADV	pas
mais	KON	mais
